code,shortName,longName,comment
030,030,Grundschule,
090,090,Gymnasium,
110,110,Freie Waldorfschule,
115,115,Gemeinschaftsschule ohne Oberstufe,
120,120,Gemeinschaftsschule mit Oberstufe,
131,131,FöZ mit dem SP Lernen,
132,132,FöZ mit dem SP Sehen,
134,134,FöZ mit dem SP Hören,
136,136,FöZ mit dem SP Sprache,
137,137,FöZ mit dem SP körperliche und motorische Entwicklung,
138,138,FöZ mit dem SP geistige Entwicklung,
139,139,FöZ mit dem SP emotionale und soziale Entwicklung,
140,140,FöZ mit dem SP autistisches Verhalten,
141,141,FöZ mit dem SP dauerhaft kranke Schüler/-innen,
170,170,Abendgymnasium,
000,000,Berufsbildende Schule,
